Sample Date,Latitude,Longitude,Total Pieces/L ,,,
12/4/2014,12.478,-87.261,10,,,
12/4/2014,13.56,-59.02,10,,,
12/4/2014,14.44361111,-58.46583333,19,,,
12/5/2014,17.60333333,-39.82,12,,,
12/5/2014,18.53,-41.32,2,,,
12/5/2014,15.41818333,-41.2341,3,,,
12/5/2014,18.61083333,-48.18516667,3,,,
12/5/2014,17.81666667,-42.53333333,139,,,
12/5/2014,19.15296667,-43.09646667,23,,,
12/5/2014,19,-43.95,12,,,
12/5/2014,15.71166667,-37.34666667,2,,,
12/5/2014,17.628,-48.34481667,4,,,
12/5/2014,19.02385,-41.998,3,,,
12/5/2014,14.18333333,-60.01666667,2,,,
12/5/2014,17.51293333,-48.54986333,9,,,
